tech,users,avg_ms,p50_ms,p95_ms,p99_ms,rps,failures
GraphQL,50,2487.5577842161274,2200.0,6000.0,7900.0,11.65064146061086,0
GraphQL,200,7632.084141092683,8000.0,10000.0,11000.0,20.82604849312228,0
GraphQL,500,22952.536253266066,24000.0,30000.0,32000.0,18.51345958436927,0
REST,50,11.1069103165219,9.0,24.0,32.0,31.46500420222957,0
REST,200,7.4568329065445536,6.0,18.0,25.0,129.21679844036677,0
REST,500,5.842713391959998,4.0,14.0,26.0,325.4318247156706,0
SOAP,50,160.0955147449704,19.0,1100.0,1300.0,28.59407339128759,0
SOAP,200,2434.608538484548,2300.0,4400.0,5100.0,48.56048296038457,0
SOAP,500,8495.4193446633,8900.0,12000.0,14000.0,48.04172120046101,0
gRPC,50,6.845846290537539,5.0,18.0,23.0,31.376651831775696,0
gRPC,200,3.672708902888387,2.0,12.0,16.0,128.57433761064812,0
gRPC,500,2.623956747677288,1.0,7.0,14.0,303.9930002735895,0
